Date;USDCOP;BRENT
4/11/2019;3339.19;62.13
1/11/2019;3325.7;61.69
31/10/2019;3379.55;60.23
30/10/2019;3389.65;60.61
29/10/2019;3377.02;61.59
28/10/2019;3395.25;61.57
25/10/2019;3395.73;62.02
24/10/2019;3406.07;61.67
23/10/2019;3393.85;61.17
22/10/2019;3432.2;59.7
21/10/2019;3448.52;58.96
18/10/2019;3425.65;59.42
17/10/2019;3451.5;59.91
16/10/2019;3459.27;59.42
15/10/2019;3451.7;58.74
14/10/2019;3431.46;59.35
11/10/2019;3431.02;60.51
10/10/2019;3459.13;59.1
9/10/2019;3467.75;58.32
8/10/2019;3453.45;58.24
7/10/2019;3452.48;58.35
4/10/2019;3436;58.37
3/10/2019;3450.55;57.71
2/10/2019;3497.36;57.69
1/10/2019;3496.1;58.89
30/09/2019;3477.03;60.78
27/09/2019;3459.8;61.91
26/09/2019;3448.38;62.74
25/09/2019;3431.52;62.39
24/09/2019;3435.25;63.1
23/09/2019;3437;64.77
20/09/2019;3416.2;64.28
19/09/2019;3384.75;64.4
18/09/2019;3373.75;63.6
17/09/2019;3385.48;64.55
16/09/2019;3364.48;69.02
13/09/2019;3363.5;60.22
12/09/2019;3366.6;60.38
11/09/2019;3375.05;60.81
10/09/2019;3362.52;62.38
9/09/2019;3371.82;62.59
6/09/2019;3357.25;61.54
5/09/2019;3380.8;60.95
4/09/2019;3397.7;60.7
3/09/2019;3443.23;58.26
2/09/2019;3459;58.66
30/08/2019;3442.35;60.43
29/08/2019;3439.08;61.08
28/08/2019;3477.05;60.49
27/08/2019;3469.98;59.51
26/08/2019;3444.77;58.7
23/08/2019;3423;59.34
22/08/2019;3390.5;59.92
21/08/2019;3377.6;60.3
20/08/2019;3408.98;60.03
16/08/2019;3426.75;58.64
15/08/2019;3471.73;58.23
14/08/2019;3459.13;59.48
13/08/2019;3412.98;61.3
12/08/2019;3426.76;58.57
9/08/2019;3395.5;58.53
8/08/2019;3369.32;57.38
6/08/2019;3428.23;58.94
5/08/2019;3456.41;59.81
2/08/2019;3384.5;61.89
1/08/2019;3340.85;60.5
31/07/2019;3280.19;65.17
30/07/2019;3302.82;64.72
29/07/2019;3285.01;63.71
26/07/2019;3237.55;63.46
25/07/2019;3217.58;63.39
24/07/2019;3198.8;63.18
23/07/2019;3188.57;63.83
22/07/2019;3175.88;63.26
19/07/2019;3173.4;62.47
18/07/2019;3176.5;61.93
17/07/2019;3185.25;63.66
16/07/2019;3199.95;64.35
15/07/2019;3190.9;66.48
12/07/2019;3192.9;66.72
11/07/2019;3199.35;66.52
10/07/2019;3206.5;67.01
9/07/2019;3218.5;64.16
8/07/2019;3217.98;64.11
5/07/2019;3210.13;64.23
4/07/2019;3198.11;63.3
3/07/2019;3195.35;63.82
2/07/2019;3209.95;62.4
28/06/2019;3211.65;66.55
27/06/2019;3197.65;66.55
26/06/2019;3183.94;66.49
25/06/2019;3190.68;65.05
21/06/2019;3203.05;65.2
20/06/2019;3193.99;64.45
19/06/2019;3241;61.82
18/06/2019;3255.7;62.14
17/06/2019;3285.9;60.94
14/06/2019;3273.88;62.01
13/06/2019;3268.13;61.31
12/06/2019;3269;59.97
11/06/2019;3259.01;62.29
10/06/2019;3258.72;62.29
7/06/2019;3268.75;63.29
6/06/2019;3291.27;61.67
5/06/2019;3305.98;60.63
4/06/2019;3292.38;61.97
31/05/2019;3379;64.49
30/05/2019;3363.98;66.87
29/05/2019;3352.8;69.45
28/05/2019;3379.55;70.11
27/05/2019;3358.68;70.11
24/05/2019;3358.77;68.69
23/05/2019;3378.2;67.76
22/05/2019;3335.85;70.99
21/05/2019;3344.45;72.18
20/05/2019;3341.81;71.97
17/05/2019;3290.27;72.21
16/05/2019;3290.14;72.62
15/05/2019;3296.2;71.77
14/05/2019;3284.72;71.24
13/05/2019;3274.3;70.23
10/05/2019;3274.25;70.62
9/05/2019;3278;70.39
8/05/2019;3290.09;70.37
7/05/2019;3297;69.88
6/05/2019;3254.1;71.24
3/05/2019;3240.52;70.85
2/05/2019;3262.9;70.75
30/04/2019;3233.95;72.8
29/04/2019;3247.87;72.04
26/04/2019;3237.98;72.15
25/04/2019;3233;74.35
24/04/2019;3195.23;74.57
23/04/2019;3177.88;74.51
22/04/2019;3139.4;74.04
18/04/2019;3160.48;71.97
17/04/2019;3160.87;71.62
16/04/2019;3160.71;71.72
15/04/2019;3136.17;71.18
12/04/2019;3109;71.55
11/04/2019;3113.59;70.83
10/04/2019;3095.67;71.73
9/04/2019;3105.18;70.61
8/04/2019;3115.22;71.1
5/04/2019;3126.35;70.34
4/04/2019;3132.9;69.4
3/04/2019;3128.68;69.31
2/04/2019;3143.2;69.37
1/04/2019;3146.74;69.01
29/03/2019;3186;68.39
28/03/2019;3191;67.82
27/03/2019;3186.45;67.83
26/03/2019;3145.52;67.97
22/03/2019;3126.06;67.03
21/03/2019;3082.08;67.86
20/03/2019;3092.59;68.5
19/03/2019;3094.65;67.61
18/03/2019;3102.54;67.54
15/03/2019;3124.08;67.16
14/03/2019;3144.65;67.23
13/03/2019;3145.52;67.55
12/03/2019;3150.75;66.67
11/03/2019;3178.55;66.58
8/03/2019;3174.5;65.74
7/03/2019;3143.35;66.3
6/03/2019;3106.2;65.99
5/03/2019;3099.93;65.86
4/03/2019;3093.71;65.67
1/03/2019;3096.13;65.07
28/02/2019;3080.38;66.03
27/02/2019;3071.18;66.39
26/02/2019;3083.45;65.21
25/02/2019;3105.55;64.76
22/02/2019;3105.75;67.12
21/02/2019;3123.55;67.07
20/02/2019;3110.7;67.08
19/02/2019;3141.4;66.45
18/02/2019;3126.35;66.5
15/02/2019;3141.79;66.25
14/02/2019;3151.52;64.57
13/02/2019;3131.1;63.61
12/02/2019;3126.6;62.42
11/02/2019;3139.7;61.51
8/02/2019;3116.2;62.1
7/02/2019;3118.2;61.63
6/02/2019;3105.13;62.69
5/02/2019;3089.4;61.98
4/02/2019;3088.02;62.51
1/02/2019;3090.42;62.75
31/01/2019;3107;61.89
30/01/2019;3163.92;61.65
29/01/2019;3155.43;61.32
28/01/2019;3159.02;59.93
25/01/2019;3151.5;61.64
24/01/2019;3171.35;61.09
23/01/2019;3146.1;61.14
22/01/2019;3145.77;61.5
21/01/2019;3121.66;62.74
18/01/2019;3124.75;62.7
17/01/2019;3133.3;61.18
16/01/2019;3117.63;61.32
15/01/2019;3142.05;60.64
14/01/2019;3140.75;58.99
11/01/2019;3152.78;60.48
10/01/2019;3136.25;61.68
9/01/2019;3127.93;61.44
8/01/2019;3165.96;58.72
7/01/2019;3208.56;57.33
4/01/2019;3192.57;57.06
3/01/2019;3244;55.95
2/01/2019;3238.35;54.91
31/12/2018;3249.75;53.8
28/12/2018;3253;52.2
27/12/2018;3279.07;52.16
26/12/2018;3284;54.47
24/12/2018;3296.75;50.47
21/12/2018;3292;53.82
20/12/2018;3268.5;54.35
19/12/2018;3220.95;57.24
18/12/2018;3205.84;56.26
17/12/2018;3181.5;59.61
14/12/2018;3196.43;60.28
13/12/2018;3179;61.45
12/12/2018;3169.8;60.15
11/12/2018;3186.46;60.2
10/12/2018;3189.85;59.97
7/12/2018;3153.81;61.67
6/12/2018;3187.06;60.06
5/12/2018;3162.43;61.56
4/12/2018;3176.8;62.08
3/12/2018;3196.72;61.69
30/11/2018;3234.25;58.71
29/11/2018;3238.48;59.51
28/11/2018;3275.85;58.76
27/11/2018;3250.33;60.21
26/11/2018;3244.6;60.48
23/11/2018;3227.52;58.8
22/11/2018;3188;62.6
21/11/2018;3190.13;63.48
20/11/2018;3198.25;62.53
19/11/2018;3175.6;66.79
16/11/2018;3167.43;66.76
15/11/2018;3190.48;66.62
14/11/2018;3202.07;66.12
